NDVI,EVI,SAVI,NDWI,ELEV,SLOPE,ASPECT,B2,B3,B4,B8,NDVI_mean_3x3,NDVI_std_3x3,NIR_mean_3x3,NIR_std_3x3,Status,longitude,latitude
0.61669636,0.42529711418356064,0.3832564292080653,-0.58440083,9,3.943171,225.2085,0.05435,0.08085,0.069358334,0.305,0.57195574,0.0843024371656911,0.28719702,0.011906124777160208,1,79.97804280773774,6.9041368633932
0.60104305,0.3581822733155975,0.31363806554110035,-0.5356037,3,1.3162304,134.79182,0.0471,0.0681,0.0508,0.2317,0.63170034,0.02105536457520746,0.24086297,0.0071566974760272455,1,79.97840213385139,6.898926634745307
0.6273483,0.4082389592917095,0.37192343275347567,-0.5524561,9,7.227043,139.9897,0.0559,0.08075,0.0676,0.28829998,0.62963766,0.031908429293954405,0.28938332,0.010873516018788377,1,79.97759365009567,6.896141857364537
0.6232885,0.4039566973454134,0.35319416661666997,-0.5523374,3,1.8678278,270.0,0.0543,0.0768,0.0624,0.2796,0.62082267,0.024900832196570275,0.28266665,0.005083960273490026,1,79.97930044913551,6.893716406097414
0.60203433,0.42029498669025395,0.37663470557584616,-0.5170917,4,1.3162215,134.79222,0.04975,0.0738,0.0611,0.2866,0.6031835,0.011540643864634915,0.28687036,0.007973559157862518,1,79.97867162843662,6.892368933171235
0.8450778,0.7715574696709584,0.6280554383327885,-0.7202424,13,5.4208274,120.78117,0.04394,0.07302,0.03814,0.4606,0.8308707,0.02025849508328075,0.44622964,0.02198992880617715,1,79.97202409533413,6.884104432557335
0.8279665,0.7424986234608466,0.5933203533729379,-0.71659225,13,3.844497,103.93904,0.044533335,0.07072,0.0446,0.4408,0.824382,0.010353128177751936,0.4191963,0.022241163989318503,1,79.97130544310684,6.883116285744803
0.87096924,0.8456005643631052,0.6906199434884646,-0.755125,13,5.4025087,211.14694,0.043533333,0.0739,0.035041668,0.5092667,0.86198086,0.019047739406189115,0.49487925,0.027311099502132664,1,79.97013763323748,6.883475611858452
0.70789516,0.5795221417614947,0.507539412722446,-0.61600626,9,0.93415165,270.0,0.055575,0.0884,0.06245,0.38959998,0.7204725,0.03691657882480704,0.37823704,0.013394735191342506,1,79.9567527355041,6.888236682864285
0.7175395,0.5275387270192723,0.45772744046255615,-0.62678206,10,2.0850875,116.39933,0.04355,0.072225,0.0534,0.3291,0.726916,0.015788807896209817,0.33919168,0.011692756464573406,1,79.95172216991303,6.889314661205228
0.6867247,0.5022978437146788,0.432519799167947,-0.59962004,6,1.3162328,225.20827,0.0481,0.08045,0.060149997,0.32,0.6914068,0.035540010578895505,0.32246298,0.02063482813325456,1,79.9664545405726,6.900543602256723
0.6718775,0.4996467378474864,0.4299998979318846,-0.6015435,15,5.0131783,111.65867,0.04844,0.0727875,0.06172,0.324,0.6689082,0.034573063145251035,0.3075,0.022325560313688396,1,79.97364106284554,6.888146851335873
0.6810878,0.49340052173689253,0.4330889216279262,-0.6036062,15,5.2510376,134.79247,0.0518,0.0747,0.05936,0.31525,0.6489976,0.08044739723166709,0.29938146,0.03940458315020859,1,79.97391055743078,6.888326514392697
0.6935558,0.5296070262278786,0.4513897842968524,-0.6032631,9,4.987095,21.94524,0.0477,0.07265,0.0532,0.3309,0.7219476,0.015349990129903632,0.34391296,0.015700262870229003,1,79.969598644067,6.896141857364537
0.7076251,0.5494867548102199,0.47563476815519456,-0.6334495,8,2.8005185,270.0,0.0493,0.07203333,0.0531,0.3416,0.7070385,0.0065714099228784024,0.3308611,0.0089758303815552,1,79.97004780170907,6.896501183478184
0.61575794,0.3712600537909412,0.3572409283280148,-0.55978084,17,4.6273675,180.0,0.047525,0.07083333,0.06103333,0.2762,0.6040831,0.018508090811543882,0.2789889,0.004345989668517709,1,79.97013763323748,6.897489330290716
0.73314065,0.5757121798200548,0.48538479896282605,-0.6344683,15,7.236434,230.39903,0.04525,0.07575,0.049000002,0.344,0.74136746,0.020183621448178878,0.33354628,0.03381240811182074,1,79.96717319279989,6.898657140160071
0.670182,0.45525754060491125,0.41250395221994196,-0.591218,8,5.943864,231.54306,0.04465,0.0692,0.05625,0.28469998,0.6625931,0.010637856585043286,0.2849278,0.004783132598149436,1,79.96744268738513,6.8978486564043635
0.7625306,0.5735905806083322,0.504635711772568,-0.64759314,11,4.1647353,63.60114,0.0429,0.0735,0.05105,0.3547,0.7521396,0.0232515794433161,0.34263334,0.012152089793620775,1,79.96456807847595,6.899106297802131
0.8236667,0.7151836829472932,0.5797062719301935,-0.7083569,9,3.94315,314.7918,0.0417,0.0688,0.03945,0.4308,0.7668163,0.042567528648305986,0.37422037,0.04917635726606149,1,79.96519689917483,6.899106297802131
0.66726494,0.4556051394891796,0.40213959037308744,-0.57471955,8,2.932567,18.560238,0.0475,0.07746,0.060866665,0.2917,0.65934616,0.028578233749569092,0.29411852,0.005464542367795455,1,79.96600538293053,6.899375792387366
0.8182922,0.6804710322885639,0.5748337223140912,-0.68745726,5,6.576311,81.92812,0.041075,0.072066665,0.039449997,0.40565,0.8017934,0.01571236727555705,0.38242778,0.02277442539315429,1,79.96187313262358,6.907280966887619
0.72825205,0.5207364100626231,0.4627183753882287,-0.647054,3,0.92740995,180.0,0.04195,0.0637,0.04222,0.316,0.72238773,0.023124239295311357,0.31635556,0.012619131806611655,1,79.95872902912916,6.909886081211565
0.75371295,0.5511829685216596,0.48034547528217386,-0.6608228,4,2.7802885,180.0,0.041866668,0.0669,0.045744445,0.33639997,0.7591669,0.009494815996370773,0.33320832,0.010091144514302494,1,79.95827987148711,6.910425070382037
0.69833213,0.5511156692271744,0.4615872912347468,-0.60373557,9,2.0851572,243.60162,0.048,0.07676667,0.054133333,0.3522,0.7058251,0.04007672823897877,0.33366296,0.011236173877595595,1,79.95414762118016,6.9091674289842695
0.74829805,0.5478970156420107,0.45846533407573387,-0.63444513,14,9.305944,275.6694,0.04192,0.065725,0.0416,0.3172,0.74141544,0.027117182541008103,0.3136,0.030763173885235,1,79.95486627340745,6.907460629944443
0.7439576,0.5916242763519828,0.514598472693312,-0.6424192,12,2.0760646,333.26767,0.04633333,0.0782,0.0502,0.36470002,0.7475998,0.014634091412698221,0.37028888,0.014798008042223074,1,79.95459677882222,6.906741977717147
0.7992602,0.6826919654118004,0.5633969996760027,-0.6899877,14,0.93418837,90.0,0.0435,0.075666666,0.04526667,0.4015,0.7947748,0.013350908318530395,0.3823889,0.03719717658397801,1,79.95333913742445,6.906831809245559
0.7348094,0.5826413406954933,0.5025220897323048,-0.64496475,10,2.076067,206.73247,0.04742857,0.077575,0.0531,0.36213332,0.7256932,0.04999774423472954,0.35976666,0.028333610454902347,1,79.95244082214033,6.909347092041093
0.6356062,0.45774327602887344,0.4002503113580636,-0.5881611,6,7.236596,309.59988,0.05451,0.07773333,0.064675,0.3049,0.6281273,0.028406444309093365,0.30353704,0.00993168413672928,1,79.96088498581105,6.9167132773708735
0.5937594,0.43797016893609736,0.37275317648550454,-0.55872655,3,1.3162565,225.2093,0.057133332,0.08598,0.07075,0.29259998,0.62064123,0.023577840576079128,0.30023628,0.01003918371391153,1,79.96151380650994,6.917431929598169
0.7098987,0.5118662811630339,0.4434908780826925,-0.60617185,14,2.7802885,-0.0,0.047475,0.07656667,0.0546,0.3107,0.711018,0.025577327489116237,0.30685,0.02025830943346191,1,79.96429858389071,6.917252266541345
0.7090326,0.4480928569565398,0.39815286761740687,-0.61100763,19,4.719927,348.6093,0.041775,0.0643,0.04595,0.28075,0.7150989,0.023351895072870596,0.27841482,0.011563220171855935,1,79.96492740458959,6.9171624350129335
0.7534069,0.5518846551330098,0.47005472393936976,-0.6506111,20,4.649017,233.33083,0.04425,0.0735,0.0499,0.34289998,0.73940516,0.027306676281414234,0.3283722,0.020088817707280767,1,79.96600538293053,6.917431929598169
0.85906506,0.7873683686125004,0.6471983846525141,-0.75143105,10,5.01333,291.658,0.042075,0.066925,0.0356,0.4736,0.8396705,0.02199997633043953,0.45042223,0.02812566109626732,1,79.96825117114084,6.904855515620496
0.68861973,0.5317429241867857,0.46221326186473244,-0.605101,8,7.849346,225.20854,0.0512,0.07936667,0.05785,0.3322,0.6963484,0.04474549735196436,0.32919165,0.025447545625943337,1,79.96465791000435,6.905125010205731
0.7745542,0.5884711383709251,0.5106088521922079,-0.6736962,18,6.2065287,206.7323,0.04245,0.06285,0.0404,0.342,0.720341,0.07356416908535272,0.3211,0.04301055680037637,1,79.9717546007489,6.906023325489851
0.78188115,0.6269688984260045,0.5317393558110577,-0.6650223,22,9.655862,286.5846,0.0456,0.0729,0.044200003,0.3723,0.7733453,0.008518704061392183,0.3446574,0.038695620401296045,1,79.97076645393636,6.910874228024097
0.7917052,0.6849603484994585,0.5788408427170151,-0.67840266,18,4.661087,270.0,0.0484,0.077,0.04805,0.412,0.7866827,0.03154762410248413,0.41324037,0.034107853729301696,1,79.97049695935114,6.911233554137745
0.67166686,0.46526375321292757,0.41677975339668766,-0.59200835,12,9.219002,37.07056,0.04925,0.07584,0.056725,0.30080003,0.6808527,0.025068620427511283,0.29281944,0.021966582060116268,1,79.97444954660126,6.909436923569506
0.6945523,0.5068987363668246,0.4312206519014189,-0.6184939,11,4.146663,333.26846,0.047133334,0.0780875,0.0554,0.3161,0.6418274,0.07801467590515317,0.29444352,0.02730174081017823,1,79.95576458869157,6.890212976489348
0.7127393,0.5341947708749902,0.47141997804580615,-0.6419342,13,1.8678179,90.0,0.0455,0.0716,0.05388,0.3407,0.7193791,0.022902910170727007,0.3411778,0.013175043230280892,1,79.95639340939046,6.891021460245056
0.7319789,0.5655130911958541,0.4812411705378531,-0.638659,8,4.639504,217.07014,0.04638,0.076733336,0.051933333,0.34062502,0.7234561,0.023644675321275718,0.32624906,0.013849991335349655,1,79.96600538293053,6.902160569768137
0.8552194,0.7864751792327981,0.6551917688551259,-0.7275548,5,2.6310856,225.20844,0.0416,0.0755,0.037333336,0.4752,0.8414878,0.01629282196408391,0.4461,0.02521227540576134,1,79.96519689917483,6.903238548109081
0.79937303,0.623153461741353,0.543549606880743,-0.6821493,10,6.20652,26.732143,0.0376,0.069785714,0.03964,0.36453333,0.8057024,0.019783662561669517,0.37893888,0.02494438136129192,1,79.9642087523623,6.902879221995433
0.84664243,0.7806494088640195,0.6349508106888215,-0.7317618,9,2.9325695,341.4396,0.040875,0.07115,0.037550002,0.4678,0.83487624,0.011724912380773948,0.43125,0.025740997510487987,1,79.9658257198737,6.903508042694317
0.73598754,0.5903370437742084,0.5012746245950527,-0.6242379,11,11.646068,288.31012,0.05165,0.07815,0.0508,0.3565,0.7143716,0.025884575522301764,0.33940372,0.019537033480835003,1,79.96402908930547,6.90692164077397
0.83008546,0.7719779250697405,0.6368270597632859,-0.7129613,3,1.3162409,225.20863,0.045875,0.07725,0.0412,0.4707,0.79674155,0.02762776660282338,0.42897037,0.030875702503501218,1,79.96357993166342,6.9062928200750875
0.8145132,0.6882217186475604,0.5796477085124562,-0.67997444,5,1.8543341,-0.0,0.0445,0.07455,0.039725,0.41106668,0.8178863,0.011148287172318179,0.41544816,0.020629554292716,1,79.96268161637929,6.905753830904615
0.7211324,0.5122912214144816,0.45589828908151264,-0.6275497,5,0.92740995,180.0,0.0487,0.0741,0.051433332,0.3116,0.7042648,0.015021805887755748,0.30934444,0.016224207246636157,1,79.96331043707818,6.906562314660323
0.8235294,0.6951359396194354,0.5732054818217769,-0.6937861,7,5.01336,248.34216,0.0403,0.0707,0.03945,0.406,0.82304525,0.012970424769106896,0.40100926,0.026130348347947276,1,79.96268161637929,6.907999619114914
0.78737146,0.5794447396163552,0.5041424186454782,-0.649581,7,7.2365265,230.39964,0.04295,0.07365,0.0419875,0.357,0.7984985,0.02199796822291874,0.37243703,0.04166207009877497,1,79.961962964152,6.908897934399033
0.7009987,0.5079634996303399,0.4413780577339931,-0.6152617,5,6.6729856,33.88304,0.046133332,0.071836665,0.049733333,0.31849998,0.7135147,0.03307277680928653,0.32132778,0.028456289148853654,1,79.96079515428264,6.908628439813798
